165-SCR-01  COARSE RECRUSH UNDERSIZE SCREEN
165-UPN-01  COARSE RECRUSH UNDERSIZE SCREEN UNDERPAN
165-CHU-01  COARSE RECRUSH UNDERSIZE SCREEN OVERSIZED DISCHARGE CHUTE
165-PMP-01  COARSE RECRUSH UNDERSIZE SCREEN FINES TRANSFER PUMP  
171-CON-01  SECONDARY FINES DMS PRODUCT TRANSFER CONVEYOR 
171-CHU-01  SECONDARY FINES DMS PRODUCT TRANSFER CONVEYOR DISCHARGE CHUTE
171-CON-02  RECRUSH DMS PRODUCT TRANSFER CONVEYOR 
171-WTM-01  SECONDARY FINES DMS PRODUCT TRANSFER CONVEYOR WEIGHTOMETER
171-WTM-02  RECRUSH DMS PRODUCT TRANSFER CONVEYOR WEIGHTOMETER
171-CHU-02  RECRUSH DMS PRODUCT TRANSFER CONVEYOR DISCHARGE CHUTE
171-SAC-01  PRODUCT BELT SAMPLER
171-BIN-01  PRODUCT SAMPLER BIN
171-CON-03  PRODUCT STOCKPILE RADIAL STACKER
171-CON-03A  PRODUCT STOCKPILE RADIAL STACKER SLEW DRIVE
171-CHU-03  PRODUCT STOCKPILE RADIAL STACKER DISCHARGE CHUTE
171-SPK-01  PRODUCT STOCKPILE  
182-TNK-01  THICKENER FEED BOX
182-THK-01  FINES THICKENER (Hydrualic Unit)
182-THK-01A FINES THICKENER ( Hydraulic Oil Air Cooler)
182-PMP-02  FINES THICKENER UNDERFLOW PUMP 1
182-PMP-03  FINES THICKENER UNDERFLOW PUMP 2
182-AGT-02  BELT FILTER SURGE TANK AGITATOR
182-TNK-02  BELT FILTER SURGE TANK
182-PMP-04  BELT FILTER FEED PUMP 1
182-PMP-05  BELT FILTER FEED PUMP 2
182-SMP-01  FINES THICKENING SUMP 1
182-PMP-06  TAILS THICKENING SUMP PUMP 1
182-SMP-02  FINES THICKENING SUMP 2
182-PMP-09  TAILS THICKENING SUMP PUMP 2
183-CHU-01  ULTRAFINES BELT FILTER DISCHARGE CHUTE
182-CON-01  ULTRAFINES TRANSFER CONVEYOR
182-SAC-01  ULTRAFINES SAMPLER
182-BIN-01  ULTRAFINES SAMPLER BIN
182-WTM-01  ULTRAFINES TRANSFER CONVEYOR WEIGHTOMETER
182-CHU-01  ULTRAFINES TRANSFER CONVEYOR DISCHARGE CHUTE
182-CON-02  ULTRAFINES STOCKPILE RADIAL STACKER
182-CON-02A ULTRAFINES STOCKPILE RADIAL STACKER - SLEW DRIVE
182-CHU-02  ULTRAFINES STOCKPILE RADIAL STACKER DISCHARGE CHUTE
182-SPK-01  ULTRAFINES STOCKPILE  
183-FTR-01  GLAND SERVICE WATER FILTER
183-FTR-02  HORIZONTAL VACUUM BELT FILTER
183-TNK-01  BELT FILTER FILTRATE TANK
183-PMP-02  BELT FILTER FILTRATE PUMP
183-PMP-01  BELT FILTER VACUUM PUMP
183-TNK-02  BELT FILTER MOISTURE TRAP
183-TNK-03  BELT FILTER SEAL POT
183-SMP-01  BELT FILTER SUMP
183-PMP-03  BELT FILTER SUMP PUMP 
184-CON-01  SECONDARY DMS FLOATS TRANSFER CONVEYOR
184-WTM-01  SECONDARY DMS FLOATS TRANSFER CONVEYOR
184-CHU-01  SECONDARY DMS FLOATS TRANSFER CONVEYOR
184-CON-02  PRIMARY DMS FLOATS TRANSFER CONVEYOR
184-WTM-02  PRIMARY DMS FLOATS TRANSFER CONVEYOR
184-CHU-02  PRIMARY DMS FLOATS TRANSFER CONVEYOR
184-SAC-01  COMBINED FLOATS SAMPLER
184-BIN-01  COMBINED FLOATS SAMPLER BIN
184-CON-03  COMBINED DMS FLOATS TRANSFER CONVEYOR
184-WTM-03  COMBINED DMS FLOATS TRANSFER CONVEYOR
184-CHU-03  COMBINED DMS FLOATS TRANSFER CONVEYOR
184-SPK-01  COMBINED FLOATS STOCKPILE 
212-PMP-02A RAW WATER PONTOON PUMP 1
212-PMP-02B RAW WATER PONTOON PUMP 2
212-TNK-03  RAW WATER FEED TANK
212-PMP-01A RAW WATER FEED PUMP 1
212-PMP-01B RAW WATER FEED PUMP 2
212-TNK-01  RAW WATER RECEIVING TANK
212-PMP-03  GLAND SERVICE WATER RETICULATION PUMP
212-PMP-05  FIRE WATER RETICULATION PUMP  
213-TNK-01  PROCESS WATER TANK
213-PMP-01  PROCESS WATER RETICULATION PUMP 1
213-PMP-02  PROCESS WATER RETICULATION PUMP 2
213-PMP-08  PROCESS WATER RETICULATION PUMP 3  
PLANT FIRE WATER JOCKEY PUMP
PLANT FIRE WATER PUMP (ELECTRIC)
PLANT FIRE WATER PUMP (DIESEL) 
221-COM-01  PLANT AIR COMPRESSOR 1
221-FTR-01  PLANT AIR COMPRESSOR 1 FILTER 1
221-DRR-01  PLANT AIR DRYER 1
221-FTR-02  PLANT AIR COMPRESSOR 1 FILTER 2
221-COM-02  PLANT AIR COMPRESSOR 2
221-FTR-03  PLANT AIR COMPRESSOR 2 FILTER 1
221-DRR-02  PLANT AIR DRYER 2
221-FTR-04  PLANT AIR COMPRESSOR 2 FILTER 2
221-VES-01  PLANT AIR RECEIVER 1
221-VES-02  PLANT AIR RECEIVER 2 
261-HST-01  FeSi BAG HOIST
261-BBK-01  FeSi BAG BREAKER
261-HOP-01  FeSi MAKE UP HOPPER
261-PMP-01  FeSi MAKE-UP TRANSFER PUMP
261-SMP-01  FeSi MAKE UP SUMP
261-PMP-02  FeSi MAKE UP SUMP PUMP   
261-TNK-01  FLOCCULANT MAKE UP TANK 1
261-FDR-01  FLOCCULANT SCREW FEEDER
261-TNK-02  FLOCCULANT MAKE UP TANK 2
261-PPD-01  WETTING CYCLONE 1
261-AGT-01  FLOCCULANT MAKE UP TANK AGITATOR 1
261-TNK-03  FLOCCULANT MAKE UP TANK 3
261-AGT-02  FLOCCULANT MAKE UP TANK AGITATOR 2
261-TNK-04  FLOCCULANT MAKE UP TANK 4
261-PMP-03  FLOCCULANT TRANSFER PUMP 1
261-PMP-04  FLOCCULANT TRANSFER PUMP 2
261-MBX-01  FLOCCULANT MIXING BOX
261-TNK-05  FLOCCULANT MAKE UP TANK 1
261-FDR-02  FLOCCULANT SCREW FEEDER
261-TNK-06  FLOCCULANT MAKE UP TANK 2
261-PPD-02  WETTING CYCLONE 2
261-AGT-03  FLOCCULANT MAKE UP TANK AGITATOR 1
261-TNK-07  FLOCCULANT MAKE UP TANK 3
261-AGT-04  FLOCCULANT MAKE UP TANK AGITATOR 2
261-TNK-08  FLOCCULANT MAKE UP TANK 4
261-PMP-05  FLOCCULANT TRANSFER PUMP 1
261-PMP-06  FLOCCULANT TRANSFER PUMP 2
261-MBX-02  FLOCCULANT MIXING BOX
